UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
Q58A45,PAN3,Nucleocapsid,27.53,4,"mRNA processing [GO:0006397]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]",ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; RNA binding [GO:0003723]
P50479,PDLIM4,Nucleocapsid,9.98,4,actin cytoskeleton organization [GO:0030036]; actin cytoskeleton reorganization [GO:0031532]; excitatory chemical synaptic transmission [GO:0098976]; heart development [GO:0007507]; muscle structure development [GO:0061061],actin binding [GO:0003779]; alpha-actinin binding [GO:0051393]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein homodimerization activity [GO:0042803]; protein phosphatase binding [GO:0019903]
Q13905,RAPGEF1,Nucleocapsid,74.66,4,cellular response to cAMP [GO:0071320]; cellular response to nerve growth factor stimulus [GO:1990090]; establishment of endothelial barrier [GO:0061028]; nerve growth factor signaling pathway [GO:0038180]; nervous system development [GO:0007399]; positive regulation of GTPase activity [GO:0043547]; positive regulation of neuron projection development [GO:0010976]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],guanyl-nucleotide exchange factor activity [GO:0005085]; SH3 domain binding [GO:0017124]
Q15910,EZH2,Nucleocapsid,6.63,4,"B cell differentiation [GO:0030183]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cell development [GO:0048468]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to trichostatin A [GO:0035984]; cerebellar cortex development [GO:0021695]; chromatin organization [GO:0006325]; chromatin silencing at telomere [GO:0006348]; DNA methylation [GO:0006306]; G1 to G0 transition [GO:0070314]; hepatocyte homeostasis [GO:0036333]; hippocampus development [GO:0021766]; histone H3-K27 methylation [GO:0070734]; histone H3-K27 trimethylation [GO:0098532]; histone methylation [GO:0016571]; liver regeneration [GO:0097421]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of epidermal cell differentiation [GO:0045605]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of striated muscle cell differentiation [GO:0051154]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dendrite development [GO:1900006]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of GTPase activity [GO:0043547]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; protein localization to chromatin [GO:0071168]; regulation of circadian rhythm [GO:0042752]; regulation of gliogenesis [GO:0014013]; regulation of transcription, DNA-templated [GO:0006355]; response to estradiol [GO:0032355]; response to tetrachloromethane [GO:1904772]; rhythmic process [GO:0048511]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; synaptic transmission, GABAergic [GO:0051932]",chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K27 specific) [GO:0046976]; primary miRNA binding [GO:0070878]; promoter-specific chromatin binding [GO:1990841]; protein-lysine N-methyltransferase activity [GO:0016279]; ribonucleoprotein complex binding [GO:0043021]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription corepressor activity [GO:0003714]; transcription corepressor binding [GO:0001222]
P49916,LIG3,Nucleocapsid,10.47,4,"base-excision repair, DNA ligation [GO:0006288]; base-excision repair, gap-filling [GO:0006287]; cell cycle [GO:0007049]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation [GO:0006266]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via homologous recombination [GO:0000724]; lagging strand elongation [GO:0006273]; mitochondrial DNA repair [GO:0043504]; mitochondrion organization [GO:0007005]; negative regulation of mitochondrial DNA replication [GO:0090298]",ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; DNA ligase activity [GO:0003909]; zinc ion binding [GO:0008270]
P52701,MSH6,Nucleocapsid,11.65,4,determination of adult lifespan [GO:0008340]; DNA repair [GO:0006281]; interstrand cross-link repair [GO:0036297]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; isotype switching [GO:0045190]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]; positive regulation of helicase activity [GO:0051096]; pyrimidine dimer repair [GO:0006290]; response to UV [GO:0009411]; somatic hypermutation of immunoglobulin genes [GO:0016446]; somatic recombination of immunoglobulin gene segments [GO:0016447],"ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; enzyme binding [GO:0019899]; guanine/thymine mispair binding [GO:0032137]; methylated histone binding [GO:0035064]; mismatched DNA binding [GO:0030983]"
P42704,LRPPRC,Nucleocapsid,31.99,4,mitochondrion transport along microtubule [GO:0047497]; mRNA transport [GO:0051028]; negative regulation of mitochondrial RNA catabolic process [GO:0000961]; regulation of mitochondrial translation [GO:0070129],beta-tubulin binding [GO:0048487]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]
Q8TAD8,SNIP1,Nucleocapsid,9.03,4,"I-kappaB kinase/NF-kappaB signaling [GO:0007249]; mRNA splicing, via spliceosome [GO:0000398]; production of miRNAs involved in gene silencing by miRNA [GO:0035196]; regulation of transcription by RNA polymerase II [GO:0006357]",mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q92922,SMARCC1,Nucleocapsid,27.1,3,"animal organ morphogenesis [GO:0009887]; ATP-dependent chromatin remodeling [GO:0043044]; chromatin remodeling [GO:0006338]; insulin receptor signaling pathway [GO:0008286]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; nervous system development [GO:0007399]; nucleosome disassembly [GO:0006337]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; prostate gland development [GO:0030850]; regulation of transcription by RNA polymerase II [GO:0006357]",chromatin binding [GO:0003682]; histone binding [GO:0042393]; protein N-terminus binding [GO:0047485]; transcription coactivator activity [GO:0003713]
Q14258,TRIM25,Nucleocapsid,49.28,3,cellular response to leukemia inhibitory factor [GO:1990830]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of viral entry into host cell [GO:0046597]; negative regulation of viral release from host cell [GO:1902187]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein monoubiquitination [GO:0006513]; regulation of protein localization [GO:0032880]; regulation of viral entry into host cell [GO:0046596]; regulation of viral release from host cell [GO:1902186]; response to estrogen [GO:0043627]; response to vitamin D [GO:0033280]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511],cadherin binding [GO:0045296]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]; RIG-I binding [GO:0039552]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
Q9NRC8,SIRT7,Nucleocapsid,33.88,3,cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; histone glutamine methylation [GO:1990258]; histone H3 deacetylation [GO:0070932]; histone modification [GO:0016570]; homologous chromosome pairing at meiosis [GO:0007129]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transposition [GO:0010529]; osteoblast differentiation [GO:0001649]; peptidyl-lysine desuccinylation [GO:0036049]; positive regulation of rRNA processing [GO:2000234]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription involved in exit from mitosis [GO:0007072]; protein deacetylation [GO:0006476]; protein deglutarylation [GO:0061698]; protein depropionylation [GO:0106230]; regulation of DNA repair [GO:0006282]; regulation of double-strand break repair via nonhomologous end joining [GO:2001032]; regulation of gluconeogenesis [GO:0006111]; regulation of mitochondrion organization [GO:0010821]; regulation of protein export from nucleus [GO:0046825]; regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901836]; R-loop disassembly [GO:0062176]; rRNA transcription [GO:0009303],chromatin binding [GO:0003682]; deacetylase activity [GO:0019213]; histone deacetylase activity [GO:0004407]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity (H3-K18 specific) [GO:0097372]; NAD-dependent protein deacetylase activity [GO:0034979]; protein-glutaryllysine deglutarylase activity [GO:0061697]; protein-propionyllysine depropionylase activity [GO:0106231]; protein-succinyllysine desuccinylase activity [GO:0036055]; transcription corepressor activity [GO:0003714]
Q96PK6,RBM14,Nucleocapsid,38.8,3,"activation of innate immune response [GO:0002218]; centriole assembly [GO:0098534]; histone deacetylation [GO:0016575]; innate immune response [GO:0045087]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of centriole replication [GO:0046600]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to hormone [GO:0009725]; SMAD protein signal transduction [GO:0060395]",mRNA binding [GO:0003729]; nuclear receptor coactivator activity [GO:0030374]; RNA binding [GO:0003723]
Q9BRP8,PYM1,Nucleocapsid,24.22,3,"exon-exon junction complex disassembly [GO:1903259]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]",ribosome binding [GO:0043022]; RNA binding [GO:0003723]
Q5XPI4,RNF123,Nucleocapsid,18.86,3,proteolysis involved in cellular protein catabolic process [GO:0051603],metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
Q8NHH1,TTLL11,Nucleocapsid,3.83,3,microtubule cytoskeleton organization [GO:0000226]; microtubule severing [GO:0051013]; protein polyglutamylation [GO:0018095],ATP binding [GO:0005524]; tubulin binding [GO:0015631]; tubulin-glutamic acid ligase activity [GO:0070740]
P29597,TYK2,Nucleocapsid,65.86,3,cytokine-mediated signaling pathway [GO:0019221]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; type I interferon signaling pathway [GO:0060337],ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; type 1 angiotensin receptor binding [GO:0031702]
Q8WV44,TRIM41,Nucleocapsid,30.43,3,cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; protein ubiquitination [GO:0016567],identical protein binding [GO:0042802]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
Q14674,ESPL1,Nucleocapsid,1.1,3,apoptotic process [GO:0006915]; establishment of mitotic spindle localization [GO:0040001]; homologous chromosome segregation [GO:0045143]; meiotic chromosome separation [GO:0051307]; meiotic spindle organization [GO:0000212]; mitotic cytokinesis [GO:0000281]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of sister chromatid cohesion [GO:0045875]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842],catalytic activity [GO:0003824]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]
Q9BQS8,FYCO1,Nucleocapsid,23.12,3,plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of autophagosome maturation [GO:1901098],metal ion binding [GO:0046872]
P54257,HAP1,Nucleocapsid,0.81,3,"anterograde axonal transport [GO:0008089]; anterograde axonal transport of mitochondrion [GO:0098957]; autophagy [GO:0006914]; brain development [GO:0007420]; cell projection organization [GO:0030030]; cerebellum development [GO:0021549]; chemical synaptic transmission [GO:0007268]; exocytosis [GO:0006887]; hypothalamus cell differentiation [GO:0021979]; mitochondrion distribution [GO:0048311]; negative regulation of amyloid-beta formation [GO:1902430]; neurogenesis [GO:0022008]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0031587]; positive regulation of neurogenesis [GO:0050769]; positive regulation of neurotrophin production [GO:0032901]; positive regulation of non-motile cilium assembly [GO:1902857]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; protein localization [GO:0008104]; protein targeting [GO:0006605]; regulation of exocytosis [GO:0017157]; regulation of organelle transport along microtubule [GO:1902513]; retrograde axonal transport [GO:0008090]; vesicle transport along microtubule [GO:0047496]",brain-derived neurotrophic factor binding [GO:0048403]; myosin binding [GO:0017022]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]
O60506,SYNCRIP,Nucleocapsid,39.98,3,"cellular response to interferon-gamma [GO:0071346]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of translation [GO:0017148]; osteoblast differentiation [GO:0001649]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]",mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q14872,MTF1,Nucleocapsid,7.96,3,"cartilage homeostasis [GO:1990079]; cellular response to zinc ion [GO:0071294]; central nervous system development [GO:0007417]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cadmium ion [GO:0046686]; response to metal ion [GO:0010038]; response to oxidative stress [GO:0006979]; transcription, DNA-templated [GO:0006351]","cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; histone acetyltransferase binding [GO:0035035]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"
Q9NUQ6,SPATS2L,Nucleocapsid,24.46,3,N/A,RNA binding [GO:0003723]
Q06787,FMR1,Nucleocapsid,21.43,3,"cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydroxyurea [GO:0072711]; cellular response to UV [GO:0034644]; cellular response to virus [GO:0098586]; gene silencing by RNA [GO:0031047]; glutamate receptor signaling pathway [GO:0007215]; modulation by host of viral RNA genome replication [GO:0044830]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of cytoplasmic translation [GO:2000766]; negative regulation of long-term synaptic depression [GO:1900453]; negative regulation of mRNA catabolic process [GO:1902373]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; negative regulation of voltage-gated calcium channel activity [GO:1901386]; nervous system development [GO:0007399]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of histone phosphorylation [GO:0033129]; positive regulation of intracellular transport of viral material [GO:1901254]; positive regulation of mRNA binding [GO:1902416]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of receptor internalization [GO:0002092]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of translation [GO:0045727]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of dendritic spine development [GO:0060998]; regulation of filopodium assembly [GO:0051489]; regulation of gene silencing by miRNA [GO:0060964]; regulation of mRNA stability [GO:0043488]; regulation of neuronal action potential [GO:0098908]; regulation of neurotransmitter secretion [GO:0046928]; RNA splicing [GO:0008380]",chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; G-quadruplex RNA binding [GO:0002151]; identical protein binding [GO:0042802]; methylated histone binding [GO:0035064]; microtubule binding [GO:0008017]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; sequence-specific mRNA binding [GO:1990825]; siRNA binding [GO:0035197]; translation initiation factor binding [GO:0031369]; translation regulator activity [GO:0045182]; translation repressor activity [GO:0030371]; transmembrane transporter binding [GO:0044325]
P49841,GSK3B,Nucleocapsid,19.3,3,beta-catenin destruction complex disassembly [GO:1904886]; cellular response to amyloid-beta [GO:1904646]; cellular response to interleukin-3 [GO:0036016]; circadian rhythm [GO:0007623]; dopamine receptor signaling pathway [GO:0007212]; epithelial to mesenchymal transition [GO:0001837]; ER overload response [GO:0006983]; establishment of cell polarity [GO:0030010]; excitatory postsynaptic potential [GO:0060079]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glycogen metabolic process [GO:0005977]; hippocampus development [GO:0021766]; insulin receptor signaling pathway [GO:0008286]; intracellular signal transduction [GO:0035556]; maintenance of cell polarity [GO:0030011]; negative regulation of apoptotic process [GO:0043066]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of dopaminergic neuron differentiation [GO:1904339]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of glycogen (starch) synthase activity [GO:2000466]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of neuron death [GO:1901215]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; negative regulation of protein acetylation [GO:1901984]; negative regulation of protein binding [GO:0032091]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of type B pancreatic cell development [GO:2000077]; neuron projection development [GO:0031175]; neuron projection organization [GO:0106027]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of autophagy [GO:0010508]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of gene expression [GO:0010628]; positive regulation of GTPase activity [GO:0043547]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of mitochondrion organization [GO:0010822]; positive regulation of neuron death [GO:1901216]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein binding [GO:0032092]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein localization to centrosome [GO:1904781]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of axon extension [GO:0030516]; regulation of axonogenesis [GO:0050770]; regulation of cellular response to heat [GO:1900034]; regulation of circadian rhythm [GO:0042752]; regulation of dendrite morphogenesis [GO:0048814]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of microtubule anchoring at centrosome [GO:0150101]; regulation of microtubule-based process [GO:0032886]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of neuron projection development [GO:0010975]; regulation of synaptic vesicle exocytosis [GO:2000300]; signal transduction [GO:0007165]; superior temporal gyrus development [GO:0071109]; viral protein processing [GO:0019082],ATP binding [GO:0005524]; beta-catenin binding [GO:0008013]; dynactin binding [GO:0034452]; kinase activity [GO:0016301]; NF-kappaB binding [GO:0051059]; p53 binding [GO:0002039]; protease binding [GO:0002020]; protein kinase A catalytic subunit binding [GO:0034236]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; ubiquitin protein ligase binding [GO:0031625]
Q99952,PTPN18,Nucleocapsid,55.86,3,blastocyst formation [GO:0001825]; negative regulation of ERBB signaling pathway [GO:1901185]; peptidyl-tyrosine dephosphorylation [GO:0035335]; protein dephosphorylation [GO:0006470],non-membrane spanning protein tyrosine phosphatase activity [GO:0004726]; protein tyrosine phosphatase activity [GO:0004725]
P29074,PTPN4,Nucleocapsid,4.12,3,protein dephosphorylation [GO:0006470],cytoskeletal protein binding [GO:0008092]; non-membrane spanning protein tyrosine phosphatase activity [GO:0004726]; protein tyrosine phosphatase activity [GO:0004725]
Q8IVT5,KSR1,Nucleocapsid,25.33,3,cAMP-mediated signaling [GO:0019933]; positive regulation of MAPK cascade [GO:0043410]; Ras protein signal transduction [GO:0007265]; regulation of cell population proliferation [GO:0042127]; regulation of MAP kinase activity [GO:0043405]; signal transduction [GO:0007165],14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; MAP-kinase scaffold activity [GO:0005078]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]
P41218,MNDA,Nucleocapsid,44.61,3,activation of innate immune response [GO:0002218]; B cell receptor signaling pathway [GO:0050853]; cellular defense response [GO:0006968]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to interferon-beta [GO:0035458]; negative regulation of B cell proliferation [GO:0030889]; positive regulation of apoptotic process [GO:0043065]; positive regulation of interleukin-1 beta production [GO:0032731],double-stranded DNA binding [GO:0003690]
Q9H6Z4,RANBP3,Nucleocapsid,38.48,3,protein export from nucleus [GO:0006611]; regulation of catalytic activity [GO:0050790],R-SMAD binding [GO:0070412]; small GTPase binding [GO:0031267]
Q9NXR1,NDE1,Nucleocapsid,10.19,3,cell division [GO:0051301]; cell migration [GO:0016477]; centrosome duplication [GO:0051298]; centrosome localization [GO:0051642]; cerebral cortex development [GO:0021987]; chromosome segregation [GO:0007059]; establishment of chromosome localization [GO:0051303]; establishment of mitotic spindle orientation [GO:0000132]; microtubule nucleation [GO:0007020]; mitotic centrosome separation [GO:0007100]; neuroblast proliferation [GO:0007405]; neuron migration [GO:0001764]; regulation of microtubule motor activity [GO:2000574]; vesicle transport along microtubule [GO:0047496],identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; protein domain specific binding [GO:0019904]
O43847,NRDC,Nucleocapsid,63.33,3,negative regulation of cold-induced thermogenesis [GO:0120163]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; regulation of endopeptidase activity [GO:0052548],epidermal growth factor binding [GO:0048408]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
Q15047,SETDB1,Nucleocapsid,22.03,3,heterochromatin organization [GO:0070828]; histone H3-K9 methylation [GO:0051567]; negative regulation of gene expression [GO:0010629]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; positive regulation of DNA methylation-dependent heterochromatin assembly [GO:0090309]; Ras protein signal transduction [GO:0007265]; response to ethanol [GO:0045471]; response to vitamin [GO:0033273],chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K9 specific) [GO:0046974]; promoter-specific chromatin binding [GO:1990841]; zinc ion binding [GO:0008270]
P62750,RPL23A,Nucleocapsid,279.12,3,cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],cadherin binding [GO:0045296]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; TORC2 complex binding [GO:1904841]
Q13425,SNTB2,Nucleocapsid,18.54,3,N/A,actin binding [GO:0003779]; calmodulin binding [GO:0005516]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]
